uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,,release,0,,,,22,false,false,false,http://apps.who.int/classifications/icd10/browse/2019/en
http://id.who.int/icd/release/10/2019/I,I,Certain infectious and parasitic diseases,chapter,chapter,1,https://id.who.int/icd/release/10/2019,,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) Version for 2019,21,false,false,false,http://apps.who.int/classifications/icd10/browse/2019/en#/I
http://id.who.int/icd/release/10/2019/A00-A09,A00-A09,Intestinal infectious diseases,block,block,2,http://id.who.int/icd/release/10/2019/I,I,Certain infectious and parasitic diseases,10,false,false,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A00-A09
http://id.who.int/icd/release/10/2019/A00,A00,Cholera,category,three_character,3,http://id.who.int/icd/release/10/2019/A00-A09,A00-A09,Intestinal infectious diseases,3,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A00
http://id.who.int/icd/release/10/2019/A00.0,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",category,final_code,4,http://id.who.int/icd/release/10/2019/A00,A00,Cholera,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A00.0
http://id.who.int/icd/release/10/2019/A00.1,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",category,final_code,4,http://id.who.int/icd/release/10/2019/A00,A00,Cholera,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A00.1
http://id.who.int/icd/release/10/2019/A00.9,A00.9,"Cholera, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/A00,A00,Cholera,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A00.9
http://id.who.int/icd/release/10/2019/A01,A01,Typhoid and paratyphoid fevers,category,three_character,3,http://id.who.int/icd/release/10/2019/A00-A09,A00-A09,Intestinal infectious diseases,5,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A01
http://id.who.int/icd/release/10/2019/A01.0,A01.0,Typhoid fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A01,A01,Typhoid and paratyphoid fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A01.0
http://id.who.int/icd/release/10/2019/A01.1,A01.1,Paratyphoid fever A,category,final_code,4,http://id.who.int/icd/release/10/2019/A01,A01,Typhoid and paratyphoid fevers,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A01.1
