code,title,node_type,semantic_level,parent_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,has_children,is_leaf,is_three_character_code,is_detailed_code,is_coding_selectable,sex_selectable,age_group_selectable,policy_status,restriction_note
A04.6,Enteritis due to Yersinia enterocolitica,category,detailed_code,A04,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,false,true,false,true,,,,unreviewed,
A04.7,Enterocolitis due to Clostridium difficile,category,detailed_code,A04,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,false,true,false,true,,,,unreviewed,
A04.8,Other specified bacterial intestinal infections,category,detailed_code,A04,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,false,true,false,true,,,,unreviewed,
A04.9,"Bacterial intestinal infection, unspecified",category,detailed_code,A04,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections,false,true,false,true,,,,unreviewed,
A05,"Other bacterial foodborne intoxications, not elsewhere classified",category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",true,false,true,false,,,,unreviewed,
A05.0,Foodborne staphylococcal intoxication,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.1,Botulism,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.3,Foodborne Vibrio parahaemolyticus intoxication,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.4,Foodborne Bacillus cereus intoxication,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.8,Other specified bacterial foodborne intoxications,category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A05.9,"Bacterial foodborne intoxication, unspecified",category,detailed_code,A05,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",false,true,false,true,,,,unreviewed,
A06,Amoebiasis,category,three_character,A00-A09,I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,true,false,true,false,,,,unreviewed,
