group,va_code,va_title,icd10_codes,icd11_codes,footnote,note
VAs-07 Renal disorders,VAs-07.01,Renal failure,N17-N19,GB60-GB6Z,,
VAs-08 Mental and nervous system disorders,VAs-08.01,Epilepsy,G40-G41,8A60-8A6Z,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.01,Ectopic pregnancy,O00,JA01,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.02,Abortion-related death,O03-O08,JA00; JA05-JA0Z,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.03,Pregnancy-induced hypertension,O10-O16,JA20-JA2Z,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.04,Obstetric haemorrhage,O46; O67; O72,JA40-JA4Z,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.05,Obstructed labour,O63-O66,JB03-JB06,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.06,Pregnancy-related sepsis,O75.3; O85,JB0D.2; JB40,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.07,Anaemia of pregnancy,O99.0,JB64.0,,
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.0,Ruptured uterus,O71.0-O71.1,JB0A.0; JB0A.1,,VA code printed as VAs-09.0 in the source; the sequence suggests VAs-09.08 was intended.
"VAs-09 Pregnancy-, childbirth- and puerperium-related disorders",VAs-09.99,Other and unspecified maternal cause,O01-O02; O20-O45; O47-O62; O68-O70; O71.3-O71.9; O73-O84; O86-O99,JA02-JA04; JA60-JA6Z; JA80-JA8Z; JB00-JB02; JB07-JB09; JB0A.2-JB0D.1; JB0D.3-JB0Z; JB20-JB2Z; JB41-JB4Z; JB60-JB63; JB64.1-JB6Z,,
VAs-10 Neonatal causes of death,VAs-10.01,Prematurity or low birth weight,P05; P07,KA20-KA21,,
VAs-10 Neonatal causes of death,VAs-10.02,Birth asphyxia,P20-P22,KB20-KB23; KD30.0; KD30.1,e,
VAs-10 Neonatal causes of death,VAs-10.03,Neonatal pneumonia,P23-P24,KB24; KB26,,
VAs-10 Neonatal causes of death,VAs-10.04,Neonatal sepsis,P36,KA60,,
VAs-10 Neonatal causes of death,VAs-10.05,Neonatal tetanus,A33,1C15,,
VAs-10 Neonatal causes of death,VAs-10.06,Congenital malformation,Q00-Q99,9A00; EC10-EC7Y; GB81-GB82; GB8Z; LA00-LD9Z,,
VAs-10 Neonatal causes of death,VAs-10.99,Other and unspecified perinatal cause of death,P00-P04; P08-P15; P25-P35; P37-P94; P96; R95,EH10-EH3Y; KA00-KA0Z; KA22-KA4Z; KA61-KA8Z; KB00-KB0Z; KB25; KB27-KB8Z; KC00-KC9Z; KD10-KD1Z; KD30.2-KD5Z; MH11,,
VAs-11 Stillbirths,VAs-11.01,Fresh stillbirth,P95,KD3B.1,,
VAs-11 Stillbirths,VAs-11.02,Macerated stillbirth,P95,KD3B.0,,
VAs-12 External causes of death,VAs-12.01,Road traffic accident,,PA00-PA5Z,f,ICD-10 column carries footnote f only: the footnote f code list is shared by VAs-12.01 and VAs-12.02 and is split by whether the death was a road traffic accident. ICD-11 PA00-PA5Z is printed once across VAs-12.01 and VAs-12.02.
VAs-12 External causes of death,VAs-12.02,Other transport accident,,PA00-PA5Z,f,ICD-10 column carries footnote f only: the footnote f code list is shared by VAs-12.01 and VAs-12.02 and is split by whether the death was a road traffic accident. ICD-11 PA00-PA5Z is printed once across VAs-12.01 and VAs-12.02.
VAs-12 External causes of death,VAs-12.03,Accidental fall,W00-W19,PA60-PA6Z,,
VAs-12 External causes of death,VAs-12.04,Accidental drowning and submersion,W65-W74,PA90-PA9Z,,
VAs-12 External causes of death,VAs-12.05,"Accidental exposure to smoke, fire and flames",X00-X19,PB10-PB15; PB1Y-PB1Z; PB55,,
VAs-12 External causes of death,VAs-12.06,Contact with venomous animals and plants,X20-X29,PA78; PA79,,
VAs-12 External causes of death,VAs-12.07,Accidental poisoning and exposure to noxious substance,X40-X49,PB20-PB36,,
VAs-12 External causes of death,VAs-12.08,Intentional self-harm,X60-X84; Y87.0,PB80-PD3Z,,
VAs-12 External causes of death,VAs-12.09,Assault,X85-Y09; Y87.1,PD50-PF2Z; PJ20-PJ2Z,,
VAs-12 External causes of death,VAs-12.10,Exposure to force of nature,X30-X39,PJ00-PJ0Z,,
VAs-12 External causes of death,VAs-12.99,Other and unspecified external cause of death,S00-T99; W20-W64; W75-W99; X10-X19; X50-X59; Y10-Y84; Y86; Y87.2; Y88-Y89,EL51-EL54; NA00-NF2Z; PA70-PA77; PA7Y-PA8Z; PB00-PB0Z; PB16; PB50-PB54; PB56-PB6Z; PF40-PH8Z; PJ20-PJ2Z; PJ40-PL2Z,,
,VAs-99,Unknown and ill-defined cause of death,R00-R09; R11-R94; R96-R99,MA00-MB42; MB44-MB4D; MB60-MB9Y; MC21; MC80-MD80; MD82-ME81; ME83; ME86-ME92; ME9Y-MF39; MF3Y-MF53; MF55; MF57-MF7Z; MF90-MH10; MH12-MH2Y,,
