code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1A60.1,"Early congenital syphilis, latent",01,yes,both,all,annex,icd10 A50.1,no,yes,
1A60.2,Late congenital syphilitic oculopathy,01,yes,both,all,annex,icd10 A50.3,no,yes,
1A60.3,Late congenital neurosyphilis,01,yes,both,all,annex,icd10 A50.4,no,yes,
1A60.4,"Other late congenital syphilis, symptomatic",01,yes,both,all,annex,default,no,yes,
1A60.5,"Late congenital syphilis, latent",01,yes,both,all,annex,icd10 A50.6,no,yes,
1A60.Z,"Congenital syphilis, unspecified",01,yes,both,all,annex,icd10 A50 A50.2 A50.5 A50.7 A50.9,yes,yes,
1A61,Early syphilis,01,yes,both,all,annex,default,no,no,
1A61.0,Primary genital syphilis,01,yes,both,all,annex,icd10 A51.0,no,yes,
1A61.1,Primary anal syphilis,01,yes,both,all,annex,icd10 A51.1,no,yes,
1A61.2,Primary syphilis of other sites,01,yes,both,all,annex,icd10 A51.2,no,yes,
1A61.3,Secondary syphilis of skin or mucous membranes,01,yes,both,all,annex,icd10 A51.3,no,yes,
1A61.4,Secondary syphilis of other sites,01,yes,both,all,annex,icd10 A51.4,no,yes,
1A61.5,Latent early syphilis,01,yes,both,all,annex,icd10 A51.5,no,yes,
1A61.Y,Other specified early syphilis,01,yes,both,all,annex,default,yes,yes,
1A61.Z,"Early syphilis, unspecified",01,yes,both,all,annex,icd10 A51 A51.9,yes,yes,
1A62,Late syphilis,01,yes,both,all,annex,default,no,no,
1A62.0,Neurosyphilis,01,yes,both,all,annex,default,no,no,
1A62.00,Asymptomatic neurosyphilis,01,yes,both,all,annex,icd10 A52.2,no,yes,
1A62.01,Symptomatic late neurosyphilis,01,yes,both,all,annex,icd10 A52.1,no,yes,
1A62.0Z,"Neurosyphilis, unspecified",01,yes,both,all,annex,icd10 A52.3,yes,yes,
1A62.1,Cardiovascular late syphilis,01,yes,both,all,annex,icd10 A52.0,no,yes,
1A62.2,Symptomatic late syphilis of other sites,01,yes,both,all,annex,default,no,no,
1A62.20,Ocular late syphilis,01,yes,both,all,annex,default,no,yes,
1A62.21,Late syphilis involving the musculoskeletal system,01,yes,both,all,annex,default,no,yes,
1A62.22,Late syphilis of skin or mucous membranes,01,yes,both,all,annex,default,no,yes,
1A62.2Y,Symptomatic late syphilis of other specified sites,01,yes,both,all,annex,default,yes,yes,
1A62.2Z,Symptomatic late syphilis of unspecified site,01,yes,both,all,annex,icd10 A52.7 N29.0,yes,yes,
1A62.Y,Other specified late syphilis,01,yes,both,all,annex,icd10 A52.8,yes,yes,
1A62.Z,"Late syphilis, unspecified",01,yes,both,all,annex,icd10 A52 A52.9,yes,yes,
1A63,"Latent syphilis, unspecified as early or late",01,yes,both,all,annex,icd10 A53.0,no,yes,
1A6Z,"Syphilis, unspecified",01,yes,both,all,annex,icd10 A53 A53.9 K67.2 M03.1 N74.2,yes,yes,
1A70,Gonococcal genitourinary infection,01,yes,both,all,annex,default,no,no,
1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,01,yes,both,all,annex,default,no,no,
1A70.00,Gonorrhoea of penis,01,yes,both,all,annex,default,no,yes,
1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,01,yes,both,all,annex,default,yes,yes,
1A70.0Z,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",01,yes,both,all,annex,icd10 A54.0,yes,yes,
1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,01,yes,both,all,annex,icd10 A54.1,no,yes,
1A70.Y,Gonococcal infection of other specified genitourinary organ,01,yes,both,all,annex,default,yes,yes,
1A70.Z,"Gonococcal genitourinary infection, unspecified",01,yes,both,all,annex,default,yes,yes,
1A71,Gonococcal pelviperitonitis,01,yes,both,all,annex,icd10 A54.2 K67.1,no,yes,
1A72,Gonococcal infection of other sites,01,yes,both,all,annex,default,no,no,
1A72.0,Gonococcal infection of musculoskeletal system,01,yes,both,all,annex,icd10 A54.4 M73.0,no,yes,
1A72.1,Gonococcal infection of rectum,01,yes,both,all,annex,default,no,yes,
1A72.2,Gonococcal infection of anus,01,yes,both,all,annex,default,no,yes,
1A72.3,Gonococcal pharyngitis,01,yes,both,all,annex,icd10 A54.5,no,yes,
1A72.4,Gonococcal infection of eye,01,yes,both,all,annex,icd10 A54.3,no,yes,
1A72.Y,Gonococcal infection of other specified sites,01,yes,both,all,annex,default,yes,yes,
1A73,Disseminated gonococcal infection,01,yes,both,all,annex,icd10 A54.8,no,yes,
