code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1F20.0Z,"Invasive aspergillosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F20.1,Non-invasive aspergillosis,01,yes,both,all,annex,default,no,no,
1F20.10,Aspergillus otomycosis,01,yes,both,all,annex,default,no,yes,
1F20.11,Chronic aspergillosis of the paranasal sinuses,01,yes,both,all,annex,default,no,yes,
1F20.12,Chronic pulmonary aspergillosis,01,yes,both,all,annex,default,no,yes,
1F20.13,Tonsillar aspergillosis,01,yes,both,all,annex,icd10 B44.2,no,yes,
1F20.14,Aspergillus bronchitis,01,yes,both,all,annex,default,no,yes,
1F20.15,Obstructing aspergillus tracheobronchitis,01,yes,both,all,annex,default,no,yes,
1F20.1Y,Other specified non-invasive aspergillosis,01,yes,both,all,annex,default,yes,yes,
1F20.1Z,"Non-invasive aspergillosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F20.Z,"Aspergillosis, unspecified",01,yes,both,all,annex,icd10 B44 B44.1 B44.8 B44.9,yes,yes,
1F21,Basidiobolomycosis,01,yes,both,all,annex,default,no,yes,
1F22,Blastomycosis,01,yes,both,all,annex,icd10 B40 B40.0 B40.1 B40.2 B40.3 B40.7 B40.8 B40.9,no,yes,
1F23,Candidosis,01,yes,both,all,annex,default,no,no,
1F23.0,Candidosis of lips or oral mucous membranes,01,yes,both,all,annex,icd10 B37.0,no,yes,
1F23.1,Candidosis of skin or mucous membranes,01,yes,both,all,annex,default,no,no,
1F23.10,Vulvovaginal candidosis,01,yes,both,all,annex,icd10 B37.3,no,yes,
1F23.11,Candida balanoposthitis,01,yes,both,all,annex,default,no,yes,
1F23.12,Flexural or intertriginous candidosis,01,yes,both,all,annex,default,no,yes,
1F23.13,Candidosis of nail or paronychium,01,yes,both,all,annex,default,no,yes,
1F23.14,Chronic mucocutaneous candidosis,01,yes,both,all,annex,default,no,yes,
1F23.15,Disseminated cutaneous candidosis,01,yes,both,all,annex,default,no,yes,
1F23.16,Candida otomycosis,01,yes,both,all,annex,default,no,yes,
1F23.1Y,Candidosis of skin or mucous membrane of other specified site,01,yes,both,all,annex,default,yes,yes,
1F23.1Z,"Candidosis of skin or mucous membranes, unspecified",01,yes,both,all,annex,icd10 B37.2,yes,yes,
1F23.2,Candidosis of gastrointestinal tract,01,yes,both,all,annex,default,no,yes,
1F23.3,Systemic or invasive candidosis,01,yes,both,all,annex,default,no,no,
1F23.30,Candida meningitis,01,yes,both,all,annex,icd10 B37.5,no,yes,
1F23.31,Pulmonary candidosis,01,yes,both,all,annex,icd10 B37.1,no,yes,
1F23.3Y,Other specified systemic or invasive candidosis,01,yes,both,all,annex,default,yes,yes,
1F23.3Z,"Systemic or invasive candidosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F23.Y,Other specified candidosis,01,yes,both,all,annex,default,yes,yes,
1F23.Z,"Candidosis, unspecified",01,yes,both,all,annex,icd10 B37 B37.8 B37.9,yes,yes,
1F24,Chromoblastomycosis,01,yes,both,all,annex,icd10 B43 B43.0 B43.8 B43.9,no,yes,
1F25,Coccidioidomycosis,01,yes,both,all,annex,default,no,no,
1F25.0,Pulmonary coccidioidomycosis,01,yes,both,all,annex,default,no,no,
1F25.00,Acute pulmonary coccidioidomycosis,01,yes,both,all,annex,icd10 B38.0 B38.1 B38.2,no,yes,
1F25.01,Chronic pulmonary coccidioidomycosis,01,yes,both,all,annex,default,no,yes,
1F25.1,Extrathoracic coccidioidomycosis,01,yes,both,all,annex,default,no,no,
1F25.10,Disseminated coccidioidomycosis,01,yes,both,all,annex,icd10 B38.7,no,yes,
1F25.11,Primary cutaneous coccidioidomycosis,01,yes,both,all,annex,icd10 B38.3,no,yes,
1F25.12,Coccidioides meningitis,01,yes,both,all,annex,icd10 B38.4,no,yes,
1F25.1Y,Other specified extrathoracic coccidioidomycosis,01,yes,both,all,annex,default,yes,yes,
1F25.1Z,"Extrathoracic coccidioidomycosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F25.Z,"Coccidioidomycosis, unspecified",01,yes,both,all,annex,icd10 B38 B38.8 B38.9,yes,yes,
1F26,Conidiobolomycosis,01,yes,both,all,annex,default,no,yes,
1F27,Cryptococcosis,01,yes,both,all,annex,default,no,no,
1F27.0,Pulmonary cryptococcosis,01,yes,both,all,annex,icd10 B45.0,no,yes,
1F27.1,Cerebral cryptococcosis,01,yes,both,all,annex,default,no,no,
1F27.10,Meningitis due to Cryptococcus neoformans,01,yes,both,all,annex,icd10 B45.1,no,yes,
1F27.1Z,"Cerebral cryptococcosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F27.2,Disseminated cryptococcosis,01,yes,both,all,annex,icd10 B45.7,no,yes,
1F27.Y,Other specified cryptococcosis,01,yes,both,all,annex,icd10 B45.2 B45.3,yes,yes,
1F27.Z,"Cryptococcosis, unspecified",01,yes,both,all,annex,icd10 B45 B45.8 B45.9,yes,yes,
1F28,Dermatophytosis,01,yes,both,all,annex,default,no,no,
1F28.0,Dermatophytosis of scalp,01,yes,both,all,annex,default,no,yes,
1F28.1,Dermatophytosis of nail,01,yes,both,all,annex,icd10 B35.1,no,yes,
1F28.2,Dermatophytosis of foot,01,yes,both,all,annex,icd10 B35.3,no,yes,
1F28.3,Genitocrural dermatophytosis,01,yes,both,all,annex,icd10 B35.6,no,yes,
1F28.4,Kerion,01,yes,both,all,annex,default,no,yes,
1F28.5,Disseminated dermatophytosis,01,yes,both,all,annex,default,no,yes,
1F28.Y,Other specified dermatophytosis,01,yes,both,all,annex,icd10 B35.2 B35.4,yes,yes,
1F28.Z,"Dermatophytosis, unspecified",01,yes,both,all,annex,icd10 B35 B35.0 B35.8 B35.9,yes,yes,
1F29,Eumycetoma,01,yes,both,all,annex,icd10 B47.0,no,yes,
1F2A,Histoplasmosis,01,yes,both,all,annex,default,no,no,
1F2A.0,Pulmonary histoplasmosis capsulati,01,yes,both,all,annex,icd10 B39.2,no,yes,
1F2A.1,Histoplasmosis due to Histoplasma duboisii,01,yes,both,all,annex,icd10 B39.5,no,yes,
1F2A.Y,Other specified histoplasmosis,01,yes,both,all,annex,icd10 B39.3,yes,yes,
1F2A.Z,"Histoplasmosis, unspecified",01,yes,both,all,annex,icd10 B39 B39.4 B39.9,yes,yes,
1F2B,Lobomycosis,01,yes,both,all,annex,icd10 B48.0,no,yes,
1F2C,Mucormycosis,01,yes,both,all,annex,icd10 B46 B46.0 B46.1 B46.2 B46.3 B46.4 B46.5 B46.8 B46.9,no,yes,
1F2D,Non-dermatophyte superficial dermatomycoses,01,yes,both,all,annex,default,no,no,
1F2D.0,Pityriasis versicolor,01,yes,both,all,annex,icd10 B36.0,no,yes,
1F2D.1,Malassezia folliculitis,01,yes,both,all,annex,default,no,yes,
1F2D.2,White piedra,01,yes,both,all,annex,icd10 B36.2,no,yes,
1F2D.3,Black piedra,01,yes,both,all,annex,icd10 B36.3,no,yes,
1F2D.4,Tinea nigra,01,yes,both,all,annex,icd10 B36.1,no,yes,
1F2D.5,Onychomycosis due to non-dermatophyte mould,01,yes,both,all,annex,default,no,yes,
1F2D.Y,Other specified non-dermatophyte superficial dermatomycoses,01,yes,both,all,annex,default,yes,yes,
1F2D.Z,"Non-dermatophyte superficial dermatomycoses, unspecified",01,yes,both,all,annex,icd10 B36 B36.8 B36.9,yes,yes,
1F2E,Paracoccidioidomycosis,01,yes,both,all,annex,default,no,no,
1F2E.0,Pulmonary paracoccidioidomycosis,01,yes,both,all,annex,icd10 B41.0,no,yes,
1F2E.1,Disseminated paracoccidioidomycosis,01,yes,both,all,annex,icd10 B41.7,no,yes,
1F2E.Y,Other specified paracoccidioidomycosis,01,yes,both,all,annex,default,yes,yes,
1F2E.Z,"Paracoccidioidomycosis, unspecified",01,yes,both,all,annex,icd10 B41 B41.8 B41.9,yes,yes,
1F2F,Phaeohyphomycosis,01,yes,both,all,annex,icd10 B43.1 B43.2,no,yes,
1F2G,Pneumocystosis,01,yes,both,all,annex,default,no,no,
1F2G.0,Pulmonary pneumocystosis,01,yes,both,all,annex,default,no,yes,
1F2G.Z,"Pneumocystosis, unspecified",01,yes,both,all,annex,icd10 B48.5,yes,yes,
1F2H,Scedosporiosis,01,yes,both,all,annex,icd10 B48.2,no,yes,
1F2J,Sporotrichosis,01,yes,both,all,annex,default,no,no,
1F2J.0,Lymphocutaneous sporotrichosis,01,yes,both,all,annex,icd10 B42.1,no,yes,
1F2J.1,Fixed cutaneous sporotrichosis,01,yes,both,all,annex,default,no,yes,
1F2J.2,Pulmonary sporotrichosis,01,yes,both,all,annex,icd10 B42.0,no,yes,
1F2J.3,Disseminated sporotrichosis,01,yes,both,all,annex,icd10 B42.7,no,yes,
1F2J.Y,Other specified sporotrichosis,01,yes,both,all,annex,default,yes,yes,
1F2J.Z,"Sporotrichosis, unspecified",01,yes,both,all,annex,icd10 B42 B42.8 B42.9,yes,yes,
1F2K,Talaromycosis,01,yes,both,all,annex,icd10 B48.4,no,yes,
1F2L,Emmonsiosis,01,yes,both,all,annex,default,no,no,
1F2L.0,Disseminated adiaspiromycosis,01,yes,both,all,annex,default,no,yes,
1F2L.1,Pulmonary adiaspiromycosis,01,yes,both,all,annex,default,no,yes,
1F2L.Y,Other specified emmonsiosis,01,yes,both,all,annex,default,yes,yes,
1F2L.Z,"Emmonsiosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F2Y,Other specified mycoses,01,yes,both,all,annex,icd10 B48.3,yes,yes,
1F2Z,"Mycoses, unspecified",01,yes,both,all,annex,icd10 B47 B48 B48.7 B48.8 B49,yes,yes,
1F40,Malaria due to Plasmodium falciparum,01,yes,both,all,annex,default,no,no,
1F40.0,Plasmodium falciparum malaria with cerebral complications,01,yes,both,all,annex,icd10 B50.0,no,yes,
1F40.Y,Other severe or complicated Plasmodium falciparum malaria,01,yes,both,all,annex,default,yes,yes,
1F40.Z,"Malaria due to Plasmodium falciparum, unspecified",01,yes,both,all,annex,icd10 B50 B50.8 B50.9,yes,yes,
1F41,Malaria due to Plasmodium vivax,01,yes,both,all,annex,default,no,no,
1F41.0,Plasmodium vivax malaria with rupture of spleen,01,yes,both,all,annex,icd10 B51.0,no,yes,
1F41.Y,Malaria due to Plasmodium vivax with other complications,01,yes,both,all,annex,default,yes,yes,
1F41.Z,Plasmodium vivax malaria without complication,01,yes,both,all,annex,icd10 B51 B51.8 B51.9,yes,yes,
1F42,Malaria due to Plasmodium malariae,01,yes,both,all,annex,default,no,no,
1F42.0,Plasmodium malariae malaria with nephropathy,01,yes,both,all,annex,icd10 B52.0,no,yes,
1F42.Y,Malaria due to Plasmodium malariae with other complications,01,yes,both,all,annex,default,yes,yes,
1F42.Z,Plasmodium malariae malaria without complication,01,yes,both,all,annex,icd10 B52 B52.8 B52.9,yes,yes,
1F43,Malaria due to Plasmodium ovale,01,yes,both,all,annex,icd10 B53.0,no,yes,
1F44,Other parasitologically confirmed malaria,01,yes,both,all,annex,icd10 B53 B53.1 B53.8,no,yes,
1F45,Malaria without parasitological confirmation,01,yes,both,all,annex,default,no,yes,
1F4Z,"Malaria, unspecified",01,yes,both,all,annex,icd10 B54,yes,yes,
1F50,Acanthamoebiasis,01,yes,both,all,annex,icd10 B60.1,no,yes,
1F51,African trypanosomiasis,01,yes,both,all,annex,default,no,no,
1F51.0,Gambiense trypanosomiasis,01,yes,both,all,annex,default,no,no,
1F51.00,Meningitis in Gambiense trypanosomiasis,01,yes,both,all,annex,default,no,yes,
1F51.0Y,Other specified gambiense trypanosomiasis,01,yes,both,all,annex,default,yes,yes,
1F51.0Z,"Gambiense trypanosomiasis, unspecified",01,yes,both,all,annex,icd10 B56.0,yes,yes,
1F51.1,Rhodesiense trypanosomiasis,01,yes,both,all,annex,default,no,no,
1F51.10,Meningitis in Rhodesiense trypanosomiasis,01,yes,both,all,annex,default,no,yes,
1F51.1Y,Other specified rhodesiense trypanosomiasis,01,yes,both,all,annex,default,yes,yes,
1F51.1Z,"Rhodesiense trypanosomiasis, unspecified",01,yes,both,all,annex,icd10 B56.1,yes,yes,
1F51.Y,Other specified african trypanosomiasis,01,yes,both,all,annex,default,yes,yes,
1F51.Z,"African trypanosomiasis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F52,Babesiosis,01,yes,both,all,annex,icd10 B60.0,no,yes,
1F53,Chagas disease,01,yes,both,all,annex,default,no,no,
1F53.1,Acute Chagas disease without heart involvement,01,yes,both,all,annex,icd10 B57.1,no,yes,
1F53.2,Chronic Chagas disease with heart involvement,01,yes,both,all,annex,icd10 B57.2,no,yes,
1F53.3,Chagas disease with digestive system involvement,01,yes,both,all,annex,icd10 B57.3,no,yes,
1F53.4,Meningitis in Chagas disease,01,yes,both,all,annex,default,no,yes,
1F53.Y,Other specified Chagas disease,01,yes,both,all,annex,icd10 B57.0,yes,yes,
1F53.Z,"Chagas disease, unspecified",01,yes,both,all,annex,icd10 B57 B57.4 B57.5,yes,yes,
1F54,Leishmaniasis,01,yes,both,all,annex,default,no,no,
1F54.0,Visceral leishmaniasis,01,yes,both,all,annex,icd10 B55.0,no,yes,
1F54.1,Cutaneous leishmaniasis,01,yes,both,all,annex,icd10 B55.1,no,yes,
1F54.2,Mucocutaneous leishmaniasis,01,yes,both,all,annex,icd10 B55.2,no,yes,
1F54.Z,"Leishmaniasis, unspecified",01,yes,both,all,annex,icd10 B55 B55.9,yes,yes,
1F55,Naegleriasis,01,yes,both,all,annex,icd10 B60.2,no,yes,
1F56,Rhinosporidiosis,01,yes,both,all,annex,icd10 B48.1,no,yes,
1F57,Toxoplasmosis,01,yes,both,all,annex,default,no,no,
1F57.0,Hepatitis due to Toxoplasma gondii,01,yes,both,all,annex,icd10 B58.1,no,yes,
1F57.1,Meningoencephalitis due to Toxoplasma gondii,01,yes,both,all,annex,icd10 B58.2,no,yes,
1F57.2,Pulmonary toxoplasmosis due to Toxoplasma gondii,01,yes,both,all,annex,icd10 B58.3,no,yes,
1F57.3,Eye disease due to Toxoplasma gondii,01,yes,both,all,annex,icd10 B58.0,no,yes,
1F57.Y,Other specified toxoplasmosis,01,yes,both,all,annex,default,yes,yes,
1F57.Z,"Toxoplasmosis, unspecified",01,yes,both,all,annex,icd10 B58 B58.8 B58.9,yes,yes,
1F58,Microsporidiosis,01,yes,both,all,annex,default,no,yes,
1F5Z,Unspecified protozoal disease,01,yes,both,all,annex,icd10 B60 B60.8 B64,yes,yes,
1F60,Angiostrongyliasis,01,yes,both,all,annex,default,no,no,
1F60.0,Eosinophilic meningitis due to Angiostrongylus cantonensis,01,yes,both,all,annex,default,no,yes,
1F60.1,Intestinal angiostrongyliasis,01,yes,both,all,annex,icd10 B81.3,no,yes,
1F60.Y,Other specified angiostrongyliasis,01,yes,both,all,annex,default,yes,yes,
1F60.Z,"Angiostrongyliasis, unspecified",01,yes,both,all,annex,icd10 B83.2,yes,yes,
1F61,Anisakiasis,01,yes,both,all,annex,icd10 B81.0,no,yes,
1F62,Ascariasis,01,yes,both,all,annex,icd10 B77 B77.0 B77.8 B77.9,no,yes,
1F63,Capillariasis,01,yes,both,all,annex,default,no,no,
1F63.0,Capillariasis of the intestine,01,yes,both,all,annex,icd10 B81.1,no,yes,
1F63.Y,Other specified capillariasis,01,yes,both,all,annex,default,yes,yes,
1F63.Z,"Capillariasis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F64,Dracunculiasis,01,yes,both,all,annex,icd10 B72,no,yes,
1F65,Enterobiasis,01,yes,both,all,annex,icd10 B80,no,yes,
1F66,Filariasis,01,yes,both,all,annex,default,no,no,
1F66.0,Loiasis,01,yes,both,all,annex,icd10 B74.3,no,yes,
1F66.1,Mansonelliasis,01,yes,both,all,annex,icd10 B74.4,no,yes,
1F66.2,Filariasis due to Brugia species,01,yes,both,all,annex,default,no,yes,
1F66.3,Lymphatic filariasis,01,yes,both,all,annex,default,no,no,
1F66.30,Filariasis due to Wuchereria bancrofti,01,yes,both,all,annex,icd10 B74.0,no,yes,
1F66.31,Filariasis due to Brugia malayi,01,yes,both,all,annex,icd10 B74.1,no,yes,
1F66.32,Filariasis due to Brugia timori,01,yes,both,all,annex,icd10 B74.2,no,yes,
1F66.3Z,"Lymphatic filariasis, unspecified",01,yes,both,all,annex,default,yes,yes,
1F66.4,Subcutaneous dirofilariasis,01,yes,both,all,annex,default,no,yes,
1F66.Y,Other specified filariasis,01,yes,both,all,annex,default,yes,yes,
1F66.Z,"Filariasis, unspecified",01,yes,both,all,annex,icd10 B74 B74.8 B74.9,yes,yes,
1F67,Gnathostomiasis,01,yes,both,all,annex,icd10 B83.1,no,yes,
1F68,Hookworm diseases,01,yes,both,all,annex,default,no,no,
1F68.0,Ancylostomiasis,01,yes,both,all,annex,default,no,yes,
1F68.1,Necatoriasis,01,yes,both,all,annex,icd10 B76.1,no,yes,
1F68.2,Cutaneous larva migrans,01,yes,both,all,annex,default,no,yes,
1F68.Y,Other specified hookworm diseases,01,yes,both,all,annex,default,yes,yes,
1F68.Z,"Hookworm diseases, unspecified",01,yes,both,all,annex,icd10 B76 B76.0 B76.8 B76.9,yes,yes,
1F69,Oesophagostomiasis,01,yes,both,all,annex,default,no,yes,
1F6A,Onchocerciasis,01,yes,both,all,annex,default,no,no,
1F6A.0,Onchocerciasis of the eye,01,yes,both,all,annex,default,no,yes,
1F6A.1,Onchocerciasis of the skin,01,yes,both,all,annex,default,no,yes,
1F6A.Y,Other specified onchocerciasis,01,yes,both,all,annex,default,yes,yes,
1F6A.Z,"Onchocerciasis, unspecified",01,yes,both,all,annex,icd10 B73,yes,yes,
1F6B,Strongyloidiasis,01,yes,both,all,annex,icd10 B78 B78.0 B78.1 B78.7 B78.9,no,yes,
1F6C,Syngamosis,01,yes,both,all,annex,icd10 B83.3,no,yes,
1F6D,Toxocariasis,01,yes,both,all,annex,icd10 B83.0,no,yes,
1F6E,Trichinosis,01,yes,both,all,annex,icd10 B75,no,yes,
1F6F,Trichostrongyliasis,01,yes,both,all,annex,icd10 B81.2,no,yes,
1F6G,Trichuriasis,01,yes,both,all,annex,icd10 B79,no,yes,
1F6H,Uncinariosis,01,yes,both,all,annex,default,no,yes,
1F6Y,Other specified diseases due to nematodes,01,yes,both,all,annex,default,yes,yes,
1F6Z,"Diseases due to nematodes, unspecified",01,yes,both,all,annex,default,yes,yes,
1F70,Cysticercosis,01,yes,both,all,annex,default,no,no,
1F70.0,Cysticercosis of central nervous system,01,yes,both,all,annex,default,no,no,
1F70.00,Meningitis due to Cysticercosis,01,yes,both,all,annex,default,no,yes,
1F70.0Y,Other specified cysticercosis of central nervous system,01,yes,both,all,annex,default,yes,yes,
1F70.0Z,"Cysticercosis of central nervous system, unspecified",01,yes,both,all,annex,icd10 B69.0,yes,yes,
1F70.1,Cysticercosis of eye,01,yes,both,all,annex,icd10 B69.1,no,yes,
1F70.Y,Other specified cysticercosis,01,yes,both,all,annex,default,yes,yes,
1F70.Z,"Cysticercosis, unspecified",01,yes,both,all,annex,icd10 B69 B69.8 B69.9,yes,yes,
1F71,Diphyllobothriasis,01,yes,both,all,annex,icd10 B70.0,no,yes,
1F72,Dipylidiasis,01,yes,both,all,annex,icd10 B71.1,no,yes,
1F73,Echinococcosis,01,yes,both,all,annex,default,no,no,
1F73.0,Echinococcus infection of liver,01,yes,both,all,annex,icd10 B67.0 B67.5 B67.8,no,yes,
1F73.1,Echinococcus infection of lung,01,yes,both,all,annex,icd10 B67.1,no,yes,
1F73.2,Echinococcus infection of bone,01,yes,both,all,annex,icd10 B67.2,no,yes,
1F73.3,Echinococcus infection of central nervous system,01,yes,both,all,annex,default,no,yes,
1F73.Y,Other specified echinococcosis,01,yes,both,all,annex,default,yes,yes,
1F73.Z,"Echinococcosis, unspecified",01,yes,both,all,annex,icd10 B67 B67.3 B67.4 B67.6 B67.7 B67.9,yes,yes,
1F74,Hymenolepiasis,01,yes,both,all,annex,icd10 B71.0,no,yes,
1F75,Sparganosis,01,yes,both,all,annex,icd10 B70.1,no,yes,
1F76,Taeniasis,01,yes,both,all,annex,default,no,no,
1F76.0,Taeniasis due to Taenia solium,01,yes,both,all,annex,icd10 B68.0,no,yes,
1F76.1,Taeniasis due to Taenia saginata,01,yes,both,all,annex,icd10 B68.1,no,yes,
1F76.Y,Other specified taeniasis,01,yes,both,all,annex,default,yes,yes,
1F76.Z,"Taeniasis, unspecified",01,yes,both,all,annex,icd10 B68 B68.9,yes,yes,
1F7Y,Other specified diseases due to cestodes,01,yes,both,all,annex,default,yes,yes,
1F7Z,"Diseases due to cestodes, unspecified",01,yes,both,all,annex,icd10 B70 B71 B71.8 B71.9,yes,yes,
1F80,Clonorchiasis,01,yes,both,all,annex,icd10 B66.1,no,yes,
1F81,Dicrocoeliasis,01,yes,both,all,annex,icd10 B66.2,no,yes,
1F82,Fascioliasis,01,yes,both,all,annex,icd10 B66.3,no,yes,
1F83,Fasciolopsiasis,01,yes,both,all,annex,icd10 B66.5,no,yes,
1F84,Opisthorchiasis,01,yes,both,all,annex,icd10 B66.0,no,yes,
1F85,Paragonimiasis,01,yes,both,all,annex,icd10 B66.4,no,yes,
1F86,Schistosomiasis,01,yes,both,all,annex,default,no,no,
1F86.0,Schistosomiasis due to Schistosoma haematobium,01,yes,both,all,annex,icd10 B65.0 N22.0,no,yes,
1F86.1,Schistosomiasis due to Schistosoma mansoni,01,yes,both,all,annex,icd10 B65.1,no,yes,
1F86.2,Schistosomiasis due to Schistosoma japonicum,01,yes,both,all,annex,icd10 B65.2,no,yes,
1F86.3,Other schistosomiases,01,yes,both,all,annex,default,no,yes,
1F86.4,Cercarial dermatitis,01,yes,both,all,annex,icd10 B65.3,no,yes,
1F86.5,Schistosomal pneumonitis,01,yes,both,all,annex,default,no,yes,
1F86.Z,Schistosomiasis due to unspecified or unknown Schistosoma species,01,yes,both,all,annex,icd10 B65 B65.8 B65.9,yes,yes,
1F8Y,Other specified diseases due to trematodes,01,yes,both,all,annex,default,yes,yes,
1F8Z,"Diseases due to trematodes, unspecified",01,yes,both,all,annex,icd10 B66 B66.8 B66.9,yes,yes,
1F90,Other or unspecified infestation by parasitic worms,01,yes,both,all,annex,default,no,no,
1F90.0,Mixed intestinal helminthiases,01,yes,both,all,annex,default,no,yes,
1F90.1,Intestinal parasitic infestation not otherwise specified,01,yes,both,all,annex,default,no,yes,
1F90.2,"Intestinal helminthiasis, unspecified",01,yes,both,all,annex,icd10 B82.0,no,yes,
1F90.Y,Other specified infestation by parasitic worms,01,yes,both,all,annex,default,yes,yes,
1F90.Z,"Infestation by parasitic worms, unspecified",01,yes,both,all,annex,icd10 B82 B82.9,yes,yes,
1F91,Diphyllobothriasis and sparganosis,01,yes,both,all,annex,default,no,yes,
1F9Z,"Helminthiases, unspecified",01,yes,both,all,annex,icd10 B81 B81.4 B81.8 B83 B83.4 B83.8 B83.9,yes,yes,
1G00,Pediculosis,01,yes,both,all,annex,default,no,no,
1G00.0,Pediculosis capitis,01,yes,both,all,annex,icd10 B85.0,no,yes,
1G00.1,Pediculosis corporis,01,yes,both,all,annex,icd10 B85.1,no,yes,
1G00.Z,Pediculosis of unspecified site or type,01,yes,both,all,annex,icd10 B85.2,yes,yes,
1G01,Myiasis,01,yes,both,all,annex,default,no,no,
1G01.0,Ocular myiasis,01,yes,both,all,annex,icd10 B87.2,no,yes,
1G01.1,Nasopharyngeal myiasis,01,yes,both,all,annex,icd10 B87.3,no,yes,
1G01.2,Laryngeal myiasis,01,yes,both,all,annex,default,no,yes,
1G01.3,Cutaneous myiasis,01,yes,both,all,annex,icd10 B87.0 B87.1,no,yes,
1G01.Y,Other specified myiasis,01,yes,both,all,annex,icd10 B87.4,yes,yes,
1G01.Z,"Myiasis, unspecified",01,yes,both,all,annex,icd10 B87 B87.8 B87.9,yes,yes,
1G02,External hirudiniasis,01,yes,both,all,annex,icd10 B88.3,no,yes,
1G03,Pthiriasis,01,yes,both,all,annex,icd10 B85.3,no,yes,
1G04,Scabies,01,yes,both,all,annex,default,no,no,
1G04.0,Classical scabies,01,yes,both,all,annex,default,no,yes,
1G04.1,Crusted scabies,01,yes,both,all,annex,default,no,yes,
1G04.Y,Other specified scabies,01,yes,both,all,annex,default,yes,yes,
1G04.Z,"Scabies, unspecified",01,yes,both,all,annex,icd10 B86,yes,yes,
1G05,Tungiasis,01,yes,both,all,annex,icd10 B88.1,no,yes,
1G06,Cimicosis,01,yes,both,all,annex,default,no,yes,
1G07,Infestation by mites,01,yes,both,all,annex,default,no,no,
1G07.0,Infestation by Demodex,01,yes,both,all,annex,default,no,yes,
1G07.Y,Infestation of the skin by other specified parasitic mites,01,yes,both,all,annex,default,yes,yes,
1G07.Z,Infestation of the skin by unspecified parasitic mites,01,yes,both,all,annex,default,yes,yes,
1G0Y,Infestation by other specified ectoparasite,01,yes,both,all,annex,default,yes,yes,
1G0Z,Infestation by unknown or unspecified ectoparasite,01,yes,both,all,annex,icd10 B85 B85.4 B88 B88.0 B88.2 B88.8 B88.9,yes,yes,
1G2Y,Other specified parasitic diseases,01,yes,both,all,annex,default,yes,yes,
1G2Z,Unspecified parasitic diseases,01,yes,both,all,annex,icd10 B89,yes,yes,
1G40,Sepsis without septic shock,01,yes,both,all,annex,icd10 A40 A40.8 A40.9 A41 A41.8 A41.9,no,yes,
1G41,Sepsis with septic shock,01,yes,both,all,annex,icd10 R57.2,no,yes,
1G60,Certain other disorders of infectious origin,01,yes,both,all,annex,default,no,no,
1G60.0,Mycetoma of unknown or unspecified type,01,yes,both,all,annex,icd10 B47.9,no,yes,
1G60.1,Pythiosis,01,yes,both,all,annex,default,no,yes,
1G60.2,Protothecosis,01,yes,both,all,annex,default,no,yes,
1G60.3,Infection of peripheral nervous system,01,yes,both,all,annex,default,no,yes,
1G60.Y,Other specified disorders of infectious origin not elsewhere classified,01,yes,both,all,annex,default,yes,yes,
1G80,Sequelae of tuberculosis,01,yes,both,all,annex,icd10 B90 B90.0 B90.1 B90.2 B90.8 B90.9,no,yes,
1G81,Sequelae of trachoma,01,yes,both,all,annex,default,no,yes,
1G82,Sequelae of leprosy,01,yes,both,all,annex,icd10 B92,no,yes,
1G83,Sequelae of poliomyelitis,01,yes,both,all,annex,icd10 B91,no,yes,
1G84,Sequelae of viral encephalitis,01,yes,both,all,annex,default,no,yes,
1G85,Sequelae of diphtheria,01,yes,both,all,annex,default,no,yes,
1G8Y,Sequelae of other specified infectious diseases,01,yes,both,all,annex,default,yes,yes,
1G8Z,Sequelae of unspecified infectious diseases,01,yes,both,all,annex,default,yes,yes,
1H0Z,"Infection, unspecified",01,yes,both,all,annex,icd10 A24 A31 A31.8 A31.9 B94 B94.8 B94.9 B99 G05.2 K77.0 N77.0 N77.1 R65 R65.0 R65.1 R65.9,yes,yes,
2A00,Primary neoplasms of brain,02,yes,both,all,annex,default,no,no,
2A00.0,Gliomas of brain,02,yes,both,all,annex,default,no,no,
2A00.00,Glioblastoma of brain,02,yes,both,all,annex,default,no,yes,
2A00.0Y,Other specified gliomas of brain,02,yes,both,all,annex,default,yes,yes,
2A00.0Z,"Gliomas of brain, unspecified",02,yes,both,all,annex,default,yes,yes,
2A00.1,Embryonal tumours of brain,02,yes,both,all,annex,default,no,no,
2A00.10,Medulloblastoma of brain,02,yes,both,all,annex,default,no,yes,
2A00.11,Central primitive neuroectodermal tumour,02,yes,both,all,annex,default,no,yes,
2A00.1Y,Other specified embryonal tumours of brain,02,yes,both,all,annex,default,yes,yes,
2A00.1Z,"Embryonal tumours of brain, unspecified",02,yes,both,all,annex,default,yes,yes,
2A00.2,Tumours of neuroepithelial tissue of brain,02,yes,both,all,annex,default,no,no,
2A00.20,Tumours of the pineal gland or pineal region,02,yes,both,all,annex,default,no,yes,
